Value,City,Country,Latitude,Longitude
22265426,Shanghai,China,31.2,121.5
19610000,Beijing,China,39.9,116.4
13120596,Istanbul,Turkey,41,29
12478447,Mumbai,India,19.1,72.9
11969284,Karachi,Pakistan,24.9,67
11918057,MOSKVA,Russia,55.8,37.6
11895893,São Paulo,Brazil,-23.6,-46.6
11090314,Tianjin,China,39.1,117.2
11070654,Guangzhou,China,23.1,113.3
11007835,Delhi,India,28.6,77.2
10590000,Lagos,Nigeria,6.6,3.3
10357938,Shenzhen,China,22.5,114.1
10251297,Seoul,Republic of Korea,37.6,127
9780644,Wuhan,China,30.6,114.3
9588198,Jakarta,Indonesia,-6.2,106.8
9585636,Lima,Peru,-9.1,-78.5
8851080,Mexico City,Mexico,19.4,-99.1
8637098,Tokyo,Japan,35.7,139.8
8425970,Bengaluru,India,13,77.6
8405837,New York,USA,40.7,-73.9
8305218,Bangkok,Thailand,13.8,100.5
8220937,Dongguan,China,23,113.8
8174100,London,United Kingdom,51.5,-0.1
8154051,Teheran,Iran,35.7,51.4
7947121,Cairo,Egypt,30,31.2
7677122,Chengdu,China,30.7,104.1
7674366,Bogotá,Colombia,4.7,-74.1
7457589,Chongqing,China,30.1,107.9
7208618,Kinshasa,Democratic Republic of the Congo,-4.4,15.3
7208200,Ahmedabad,India,23,72.6
7165828,Nanjing,China,32.1,118.8
7123340,Hồ Chí Minh Stadt,Vietnam,10.8,106.6
7055071,Hong Kong,China,22.3,114.2
6809970,Hyderabad,India,17.4,78.5
6501189,Xi'an,China,34.2,109.1
6485175,Lahore,Pakistan,31.5,74.3
6453682,Rio de Janeiro,Brazil,-22.9,-43.2
6448837,Hà Nội,Vietnam,21,105.8
6280000,Onitsha,Nigeria,6.1,6.8
6255921,Shenyang,China,41.8,123.4
6242000,Hangzhou,China,30.3,120.1
5831541,Bagdad,Iraq,33.3,44.4
5644235,Dhaka,Bangladesh,23.7,90.4
5399200,Singapore,Singapore,1.3,103.9
5349090,Suzhou,China,31.3,120.6
5289364,Caracas,Venezuela,10.5,-66.8
5230000,Luanda,Angola,-8.9,13.3
5132794,Toronto,Canada,43.7,-79.4
5105860,Santiago de Chile,Chile,-33.5,-70.6
4990602,St. Petersburg,Russia,59.9,30.3
4948920,Rangoon,Myanmar,16.8,96.2
4681087,Chennai,India,13.1,80.3
4672619,Greater Sydney,Australia,-33.9,151.2
4587200,Qingdao,China,36.1,120.4
4517549,Harbin,China,45.8,126.6
4498535,Khartum,Sudan,15.6,32.5
4486679,Kolkata,India,22.6,88.4
4450000,Aleppo,Syria,36.2,37.1
4436257,Nairobi,Kenya,-1.3,36.8
4431719,Ankara,Turkey,39.9,32.9
4335900,Jinan,China,36.6,117
4293416,Sydney,Australia,-33.9,151.2
4253627,Zhengzhou,China,34.8,113.7
4248344,Greater Melbourne,Australia,-38.1,144.4
4247414,Alexandria,Egypt,31.2,29.9
4087733,Dalian,China,38.9,121.6
4087152,Riad,Saudi-Arabia,27.2,49.5
4086734,Melbourne,Australia,-37.8,145
3966818,"New Taipei
","Taiwan
",25,121.1
3966553,Abidjan,Côte d'Ivoire,5.4,-4
3884307,Los Angeles,USA,34,-118.4
3760636,Pune,India,18.5,73.9
3631236,Yokohama,Japan,35.6,139.6
3629813,Accra,Ghana,5.6,0
3583429,Kunming,China,25.1,102.7
3548640,Busan,Republic of Korea,35.2,129.1
3542319,Wuxi,China,31.6,120.3
3531347,Xiamen,China,24.5,118.1
3530115,Changchun,China,43.8,125.3
3491597,Ningbo,China,29.9,121.6
3437171,Nanning,China,22.8,108.3
3426522,Taiyuan,China,37.9,112.6
3421829,Berlin,Germany,52.5,13.4
3407963,Montreal,Canada,45.5,-73.6
3354934,İzmir,Turkey,38.4,27.1
3352076,Hefei,China,31.8,117.2
3290548,Changzhou,China,31.8,119.9
3289000,Kabul,Afghanistan,34.5,69.2
3258540,Giza,Egypt,30,31.2
3255288,Pyongyang,Democratic People's Republic of Korea,39,125.8
