Latitude,Longitude
35.8,-83.8
59.4,160.6
37.2,14.8
29,-96.2
-34.2,140.6
9.8,80.2
27.4,68.4
40,-4.4
50.6,8.6
18.2,-66.4
47.8,9.6
46.6,-98.4
27.4,113.4
53.6,13
45.8,20.6
59,24.6
43,1.8
37.8,-82.8
38,-103.8
38.6,-93.2
47.6,25.6
48.4,5.2
49,2.2
43.8,24.4
49.8,2.6
43.4,-6
59.2,30
46.2,-71
52.8,15
50.4,23.4
48.6,2.4
55,9.8
52.2,9.6
64.4,12
16,120.6
53.6,21.4
60.6,12.4
37.4,13.2
47.8,8.6
40.6,-111.8
28.8,-82
46,4.8
45,-84.4
50.2,15.4
50.8,6
48.6,16.6
50.6,12
49.2,12.8
40,15.4
31.2,34.4
47.6,2.6
53.2,14
40.8,-85.6
-33.4,27.2
50.8,8
64.8,11.8
45.8,3
51.2,-3
44.8,26.6
-34.8,138.8
60,18
46.6,2.8
37.8,115.6
19.8,-97.4
45.2,0
44.4,0.6
44,-70
48.8,18.4
53.6,11
28.4,-81
26.6,89
26,-80.2
49.6,8.4
43.8,1.6
-7.8,111
46.2,6.2
35,-106.4
50.4,-100.2
-26.2,152.4
47.8,4.8
33.8,-118.2
50,15
46.2,7.8
46.4,10.4
47,15.8
-43,147
48.2,-1.8
40.4,-8.2
43.8,7.6
-33,151.6
63.6,10.6
53.6,20
49.2,8
53,17.8
32.2,-95.4
40.2,-82.2
49,11.8
18,-77.4
42.8,-85.8
54.2,-114.8
49.8,9.2
36.2,-82.4
49.4,8.4
48.6,15.2
52.8,18
44.6,-63.8
44.2,8
50.4,7.6
51.4,-3
53.4,9.8
43.2,23.6
48.2,21.2
47.4,9.8
48.6,10.4
-33,-61.4
47.6,7.6
48.4,14
6.4,80
50.4,12.4
45.8,9.6
52.4,16.6
52.2,21.4
24.4,116.2
35.2,-88.4
28.6,86.6
45,26.2
48.4,-0.6
38,-3.6
20.6,75.6
35.4,-83.2
-47.4,-72.6
51,15.2
40.4,-99.4
-34,150.6
42.8,-72.2
49.2,2.2
57,26.8
59.4,16.4
-6.4,-37.8
46.2,17.8
52,22.8
49.4,21.2
50.8,11
19.4,109.8
53.6,-7.2
-23.6,-50.8
52,-2.2
-34.6,-58.6
55.6,37
-22.8,-64.4
47.6,5
12.4,9
43,-88
59.6,17.4
50.2,19.6
38.2,-89
61,27.8
38.2,-6
20,-104.6
52,6.2
51,2.8
18.2,-95.4
59.2,24.8
51.8,11.6
49.8,19.4
53,9.4
42,-98
59.6,16.2
4,100.8
27.6,74.4
32.6,128.8
-10.6,-75.4
67.2,15.2
59.8,16.8
54.6,-5.8
38.4,-109
35.4,127.6
41.8,-70.8
38.6,-121.6
46.8,-0.6
37.6,-3.6
-26.4,28.4
50.8,4.8
47.2,0
52.2,-1.6
42.4,-71.2
34,119.4
37.4,127
30.4,120
47.4,-0.6
41.4,13.8
44.4,-0.4
28,114
45.4,-75.8
60.2,14.8
49.2,7.4
48.6,6.6
46.2,6.8
43.2,2.6
50.8,23.4
37.8,-25.8
43.4,132.2
47.6,9.6
48.8,4.8
43.6,5.2
43.4,-73
-21.2,149
28.2,106.6
47,4.2
56,9
-28.6,-48.8
34.8,33
-38,145.6
43.4,6.8
61.8,24
55.6,-4
41.2,21.6
38.6,-97
46.6,-71
-41.4,146.4
45,4
47,15.2
45.8,12.4
48.2,17.6
50.4,7
