"n","p","lat","long"
1,1,48,36
2,1,10,-73
2,2,37,69
3,1,10,-74
3,2,34,11
3,3,27,108
4,1,22,-98
4,2,-21,-47
4,3,32,36
4,4,27,113
5,1,21,-110
5,2,-19,-52
5,3,31,0
5,4,31,60
5,5,29,122
6,1,30,-124.571428571429
6,2,23,-83.1428571428571
6,3,-17,-42.7142857142857
6,4,34,25.7142857142857
6,5,24,83.1428571428572
6,6,34,128.571428571429
7,1,30,-125
7,2,23,-83
7,3,-23,-48
7,4,40,0
7,5,35,40
7,6,23,85
7,7,34,129
8,1,31,-125
8,2,23,-83
8,3,-23,-48
8,4,17,-3
8,5,46,20
8,6,27,75
8,7,12,110
8,8,36,130
9,1,-2,-148
9,2,33,-98
9,3,8,-73
9,4,-8,-36
9,5,45,5
9,6,35,39
9,7,26,78
9,8,12,110
9,9,36,130
